["Sensor Read", "DAY", "Time", "Sensor", "Sensor Value"],
["Sensor Read 11792", 11, ":18:00:00", "SATM", 23],
["Sensor Read 11793", 12, ":00:00:00", "SLIN", 100000],
["Sensor Read 11794", 12, ":00:00:00", "SATM", 26],
["Sensor Read 11795", 12, ":18:00:00", "SLIN", 0],
["Sensor Read 11796", 12, ":18:00:00", "SATM", 23],
["Sensor Read 11797", 13, ":00:00:00", "SLIN", 100000],
["Sensor Read 11798", 13, ":00:00:00", "SATM", 26],
["Sensor Read 11799", 13, ":18:00:00", "SLIN", 0],
["Sensor Read 11800", 13, ":18:00:00", "SATM", 23],
["Sensor Read 11801", 14, ":00:00:00", "SLIN", 100000],
["Sensor Read 11802", 14, ":00:00:00", "SATM", 26],
["Sensor Read 11803", 14, ":18:00:00", "SLIN", 0],
["Sensor Read 11804", 14, ":18:00:00", "SATM", 23],
["Sensor Read 11805", 15, ":00:00:00", "SLIN", 100000],
["Sensor Read 11806", 15, ":00:00:00", "SATM", 26],
["Sensor Read 11807", 15, ":18:00:00", "SLIN", 0],
["Sensor Read 11808", 15, ":18:00:00", "SATM", 23],
["Sensor Read 11809", 16, ":00:00:00", "SLIN", 100000],
["Sensor Read 11810", 16, ":00:00:00", "SATM", 26],
["Sensor Read 11811", 16, ":18:00:00", "SLIN", 0],
["Sensor Read 11812", 16, ":18:00:00", "SATM", 23],
["Sensor Read 11813", 17, ":00:00:00", "SLIN", 100000],
["Sensor Read 11814", 17, ":00:00:00", "SATM", 26],
["Sensor Read 11815", 17, ":18:00:00", "SLIN", 0],
["Sensor Read 11816", 17, ":18:00:00", "SATM", 23],
["Sensor Read 11817", 18, ":00:00:00", "SLIN", 100000],
["Sensor Read 11818", 18, ":00:00:00", "SATM", 26],
["Sensor Read 11819", 18, ":18:00:00", "SLIN", 0],
["Sensor Read 11820", 18, ":18:00:00", "SATM", 23],
["Sensor Read 11821", 19, ":00:00:00", "SLIN", 100000],
["Sensor Read 11822", 19, ":00:00:00", "SATM", 26],
["Sensor Read 11823", 19, ":18:00:00", "SLIN", 0],
["Sensor Read 11824", 19, ":18:00:00", "SATM", 23],
["Sensor Read 11825", 20, ":00:00:00", "SLIN", 100000],
["Sensor Read 11826", 20, ":00:00:00", "SATM", 26],
["Sensor Read 11827", 20, ":18:00:00", "SLIN", 0],
["Sensor Read 11828", 20, ":18:00:00", "SATM", 23],
["Sensor Read 11829", 21, ":00:00:00", "SLIN", 100000],
["Sensor Read 11830", 21, ":00:00:00", "SATM", 26],
["Sensor Read 11831", 21, ":18:00:00", "SLIN", 0],
["Sensor Read 11832", 21, ":18:00:00", "SATM", 23],
["Sensor Read 11833", 22, ":00:00:00", "SLIN", 100000],
["Sensor Read 11834", 22, ":00:00:00", "SATM", 26],
["Sensor Read 11835", 22, ":18:00:00", "SLIN", 0],
["Sensor Read 11836", 22, ":18:00:00", "SATM", 23],
["Sensor Read 11837", 23, ":00:00:00", "SLIN", 100000],
["Sensor Read 11838", 23, ":00:00:00", "SATM", 26],
["Sensor Read 11839", 23, ":18:00:00", "SLIN", 0],
["Sensor Read 11840", 23, ":18:00:00", "SATM", 23],
["Sensor Read 11841", 24, ":00:00:00", "SLIN", 100000],
["Sensor Read 11842", 24, ":00:00:00", "SATM", 26],
["Sensor Read 11843", 24, ":18:00:00", "SLIN", 0],
["Sensor Read 11844", 24, ":18:00:00", "SATM", 23],
["Sensor Read 11845", 25, ":00:00:00", "SLIN", 100000],
["Sensor Read 11846", 25, ":00:00:00", "SATM", 26],
["Sensor Read 11847", 25, ":18:00:00", "SLIN", 0],
["Sensor Read 11848", 25, ":18:00:00", "SATM", 23],
["Sensor Read 11849", 26, ":00:00:00", "SLIN", 100000],
["Sensor Read 11850", 26, ":00:00:00", "SATM", 26],
["Sensor Read 11851", 26, ":18:00:00", "SLIN", 0],
["Sensor Read 11852", 26, ":18:00:00", "SATM", 23],
["Sensor Read 11853", 27, ":00:00:00", "SLIN", 100000],
["Sensor Read 11854", 27, ":00:00:00", "SATM", 26],
["Sensor Read 11855", 27, ":18:00:00", "SLIN", 0],
["Sensor Read 11856", 27, ":18:00:00", "SATM", 23],
["Sensor Read 11857", 28, ":00:00:00", "SLIN", 100000],
["Sensor Read 11858", 28, ":00:00:00", "SATM", 26],
["Sensor Read 11859", 28, ":18:00:00", "SLIN", 0],
["Sensor Read 11860", 28, ":18:00:00", "SATM", 23],
["Sensor Read 11861", 29, ":00:00:00", "SLIN", 100000],
["Sensor Read 11862", 29, ":00:00:00", "SATM", 26],
["Sensor Read 11863", 29, ":18:00:00", "SLIN", 0],
["Sensor Read 11864", 29, ":18:00:00", "SATM", 23],
["Sensor Read 11865", 30, ":00:00:00", "SLIN", 100000],
["Sensor Read 11866", 30, ":00:00:00", "SATM", 26],
["Sensor Read 11867", 30, ":18:00:00", "SLIN", 0],
["Sensor Read 11868", 30, ":18:00:00", "SATM", 23],
["Sensor Read 11869", 31, ":00:00:00", "SLIN", 100000],
["Sensor Read 11870", 31, ":00:00:00", "SATM", 26],
["Sensor Read 11871", 31, ":18:00:00", "SLIN", 0],
["Sensor Read 11872", 31, ":18:00:00", "SATM", 23],
["Sensor Read 11873", 32, ":00:00:00", "SLIN", 100000],
["Sensor Read 11874", 32, ":00:00:00", "SATM", 26],
["Sensor Read 11875", 32, ":18:00:00", "SLIN", 0],
["Sensor Read 11876", 32, ":18:00:00", "SATM", 23],
["Sensor Read 11877", 33, ":00:00:00", "SLIN", 100000],
["Sensor Read 11878", 33, ":00:00:00", "SATM", 26],
["Sensor Read 11879", 33, ":18:00:00", "SLIN", 0],
["Sensor Read 11880", 33, ":18:00:00", "SATM", 23],
["Sensor Read 11881", 34, ":00:00:00", "SLIN", 100000],
["Sensor Read 11882", 34, ":00:00:00", "SATM", 26],
["Sensor Read 11883", 34, ":18:00:00", "SLIN", 0],
["Sensor Read 11884", 34, ":18:00:00", "SATM", 23],
["Sensor Read 11885", 35, ":00:00:00", "SLIN", 100000],
["Sensor Read 11886", 35, ":00:00:00", "SATM", 26],
["Sensor Read 11887", 35, ":18:00:00", "SLIN", 0],
["Sensor Read 11888", 35, ":18:00:00", "SATM", 23],
["Sensor Read 11889", 36, ":00:00:00", "SLIN", 100000],
["Sensor Read 11890", 36, ":00:00:00", "SATM", 26],
["Sensor Read 11891", 36, ":18:00:00", "SLIN", 0],
["Sensor Read 11892", 36, ":18:00:00", "SATM", 23],
["Sensor Read 11893", 37, ":00:00:00", "SLIN", 100000],
["Sensor Read 11894", 37, ":00:00:00", "SATM", 26],
["Sensor Read 11895", 37, ":18:00:00", "SLIN", 0],
["Sensor Read 11896", 37, ":18:00:00", "SATM", 23],
["Sensor Read 11897", 38, ":00:00:00", "SLIN", 100000],
["Sensor Read 11898", 38, ":00:00:00", "SATM", 26],
["Sensor Read 11899", 38, ":18:00:00", "SLIN", 0],
["Sensor Read 11900", 38, ":18:00:00", "SATM", 23],
["Sensor Read 11901", 39, ":00:00:00", "SLIN", 100000],
["Sensor Read 11902", 39, ":00:00:00", "SATM", 26],
["Sensor Read 11903", 39, ":18:00:00", "SLIN", 0],
["Sensor Read 11904", 39, ":18:00:00", "SATM", 23],
["Sensor Read 11905", 40, ":00:00:00", "SLIN", 100000],
["Sensor Read 11906", 40, ":00:00:00", "SATM", 26],
["Sensor Read 11907", 40, ":18:00:00", "SLIN", 0],
["Sensor Read 11908", 40, ":18:00:00", "SATM", 23],
["Sensor Read 11909", 41, ":00:00:00", "SLIN", 100000],
["Sensor Read 11910", 41, ":00:00:00", "SATM", 26],
["Sensor Read 11911", 41, ":18:00:00", "SLIN", 0],
["Sensor Read 11912", 41, ":18:00:00", "SATM", 23],
["Sensor Read 11913", 42, ":00:00:00", "SLIN", 100000],
["Sensor Read 11914", 42, ":00:00:00", "SATM", 26],
["Sensor Read 11915", 42, ":18:00:00", "SLIN", 0],
["Sensor Read 11916", 42, ":18:00:00", "SATM", 23],
["Sensor Read 11917", 43, ":00:00:00", "SLIN", 100000],
["Sensor Read 11918", 43, ":00:00:00", "SATM", 26],
["Sensor Read 11919", 43, ":18:00:00", "SLIN", 0],
["Sensor Read 11920", 43, ":18:00:00", "SATM", 23],
["Sensor Read 11921", 44, ":00:00:00", "SLIN", 100000],
["Sensor Read 11922", 44, ":00:00:00", "SATM", 26],
["Sensor Read 11923", 44, ":18:00:00", "SLIN", 0],
["Sensor Read 11924", 44, ":18:00:00", "SATM", 23],
["Sensor Read 11925", 45, ":00:00:00", "SLIN", 100000],
["Sensor Read 11926", 45, ":00:00:00", "SATM", 26],
["Sensor Read 11927", 45, ":18:00:00", "SLIN", 0],
["Sensor Read 11928", 45, ":18:00:00", "SATM", 23],
["Sensor Read 11929", 46, ":00:00:00", "SLIN", 100000],
["Sensor Read 11930", 46, ":00:00:00", "SATM", 26],
["Sensor Read 11931", 46, ":18:00:00", "SLIN", 0],
["Sensor Read 11932", 46, ":18:00:00", "SATM", 23],
["Sensor Read 11933", 47, ":00:00:00", "SLIN", 100000],
["Sensor Read 11934", 47, ":00:00:00", "SATM", 26],
["Sensor Read 11935", 47, ":18:00:00", "SLIN", 0],
["Sensor Read 11936", 47, ":18:00:00", "SATM", 23],
["Sensor Read 11937", 48, ":00:00:00", "SLIN", 100000],
["Sensor Read 11938", 48, ":00:00:00", "SATM", 26],
["Sensor Read 11939", 48, ":18:00:00", "SLIN", 0],
["Sensor Read 11940", 48, ":18:00:00", "SATM", 23],
["Sensor Read 11941", 49, ":00:00:00", "SLIN", 100000],
["Sensor Read 11942", 49, ":00:00:00", "SATM", 26],
["Sensor Read 11943", 49, ":18:00:00", "SLIN", 0],
["Sensor Read 11944", 49, ":18:00:00", "SATM", 23],
["Sensor Read 11945", 50, ":00:00:00", "SLIN", 100000],
["Sensor Read 11946", 50, ":00:00:00", "SATM", 26],
["Sensor Read 11947", 50, ":18:00:00", "SLIN", 0],
["Sensor Read 11948", 50, ":18:00:00", "SATM", 23],
["Sensor Read 11949", 51, ":00:00:00", "SLIN", 100000],
["Sensor Read 11950", 51, ":00:00:00", "SATM", 26],
["Sensor Read 11951", 51, ":18:00:00", "SLIN", 0],
["Sensor Read 11952", 51, ":18:00:00", "SATM", 23],
["Sensor Read 11953", 52, ":00:00:00", "SLIN", 100000],
["Sensor Read 11954", 52, ":00:00:00", "SATM", 26],
["Sensor Read 11955", 52, ":18:00:00", "SLIN", 0],
["Sensor Read 11956", 52, ":18:00:00", "SATM", 23],
["Sensor Read 11957", 53, ":00:00:00", "SLIN", 100000],
["Sensor Read 11958", 53, ":00:00:00", "SATM", 26],
["Sensor Read 11959", 53, ":18:00:00", "SLIN", 0],
["Sensor Read 11960", 53, ":18:00:00", "SATM", 23],
["Sensor Read 11961", 54, ":00:00:00", "SLIN", 100000],
["Sensor Read 11962", 54, ":00:00:00", "SATM", 26],
["Sensor Read 11963", 54, ":18:00:00", "SLIN", 0],
["Sensor Read 11964", 54, ":18:00:00", "SATM", 23],
["Sensor Read 11965", 55, ":00:00:00", "SLIN", 100000],
["Sensor Read 11966", 55, ":00:00:00", "SATM", 26],
["Sensor Read 11967", 55, ":18:00:00", "SLIN", 0],
["Sensor Read 11968", 55, ":18:00:00", "SATM", 23],
["Sensor Read 11969", 56, ":00:00:00", "SLIN", 100000],
["Sensor Read 11970", 56, ":00:00:00", "SATM", 26],
["Sensor Read 11971", 56, ":18:00:00", "SLIN", 0],
["Sensor Read 11972", 56, ":18:00:00", "SATM", 23],
["Sensor Read 11973", 57, ":00:00:00", "SLIN", 100000],
["Sensor Read 11974", 57, ":00:00:00", "SATM", 26],
["Sensor Read 11975", 57, ":18:00:00", "SLIN", 0],
["Sensor Read 11976", 57, ":18:00:00", "SATM", 23],
["Sensor Read 11977", 58, ":00:00:00", "SLIN", 100000],
["Sensor Read 11978", 58, ":00:00:00", "SATM", 26],
["Sensor Read 11979", 58, ":18:00:00", "SLIN", 0],
["Sensor Read 11980", 58, ":18:00:00", "SATM", 23],
["Sensor Read 11981", 59, ":00:00:00", "SLIN", 100000],
["Sensor Read 11982", 59, ":00:00:00", "SATM", 26],
["Sensor Read 11983", 59, ":18:00:00", "SLIN", 0],
["Sensor Read 11984", 59, ":18:00:00", "SATM", 23],
["Sensor Read 11985", 60, ":00:00:00", "GHAR", 0],
